region,season,epiweek,week_end,num_ili,num_patients,ili
CA,2017-2018,201740,2017-10-07,852,48569,1.75421
CA,2017-2018,201741,2017-10-14,733,47742,1.53534
CA,2017-2018,201742,2017-10-21,823,52516,1.56714
CA,2017-2018,201743,2017-10-28,906,52575,1.72325
CA,2017-2018,201744,2017-11-04,948,47793,1.98355
CA,2017-2018,201745,2017-11-11,950,49777,1.90851
CA,2017-2018,201746,2017-11-18,1024,51251,1.99801
CA,2017-2018,201747,2017-11-25,817,36820,2.2189
CA,2017-2018,201748,2017-12-02,988,50688,1.94918
CA,2017-2018,201749,2017-12-09,1236,49477,2.49813
CA,2017-2018,201750,2017-12-16,1671,49266,3.39179
CA,2017-2018,201751,2017-12-23,2069,45087,4.58891
CA,2017-2018,201752,2017-12-30,2512,36712,6.84245
CA,2017-2018,201801,2018-01-06,2310,34658,6.6651300000000004
CA,2017-2018,201802,2018-01-13,2361,50328,4.69123
CA,2017-2018,201803,2018-01-20,1963,49874,3.93592
CA,2017-2018,201804,2018-01-27,2038,52286,3.89779
CA,2017-2018,201805,2018-02-03,2369,55627,4.25872
CA,2017-2018,201806,2018-02-10,2116,55407,3.81901
CA,2017-2018,201807,2018-02-17,1879,50592,3.71403
CA,2017-2018,201808,2018-02-24,1619,46112,3.51102
CA,2017-2018,201809,2018-03-03,1870,51253,3.64857
CA,2017-2018,201810,2018-03-10,1813,53433,3.39303
CA,2017-2018,201811,2018-03-17,1658,51650,3.21007
CA,2017-2018,201812,2018-03-24,1457,49258,2.9579
CA,2017-2018,201813,2018-03-31,1167,42259,2.76154
CA,2017-2018,201814,2018-04-07,1082,46923,2.30591
CA,2017-2018,201815,2018-04-14,903,49879,1.81038
CA,2017-2018,201816,2018-04-21,888,48286,1.83904
CA,2017-2018,201817,2018-04-28,934,48911,1.90959
CA,2017-2018,201818,2018-05-05,876,47122,1.859
CA,2017-2018,201819,2018-05-12,828,46475,1.7816
CA,2017-2018,201820,2018-05-19,708,44470,1.59208
CA,2017-2018,201821,2018-05-26,690,40820,1.69035
CA,2017-2018,201822,2018-06-02,581,37828,1.5359
CA,2017-2018,201823,2018-06-09,571,42455,1.34495
CA,2017-2018,201824,2018-06-16,548,40946,1.33835
CA,2017-2018,201825,2018-06-23,526,31963,1.64565
CA,2017-2018,201826,2018-06-30,493,32091,1.53626
CA,2017-2018,201827,2018-07-07,380,34706,1.09491
CA,2017-2018,201828,2018-07-14,398,40418,0.98471
CA,2017-2018,201829,2018-07-21,379,40584,0.933866
CA,2017-2018,201830,2018-07-28,382,40361,0.946458
CA,2017-2018,201831,2018-08-04,374,39694,0.942208
CA,2017-2018,201832,2018-08-11,387,40532,0.954801
CA,2017-2018,201833,2018-08-18,391,41273,0.947351
CA,2017-2018,201834,2018-08-25,335,39396,0.85034
CA,2017-2018,201835,2018-09-01,435,42792,1.01655
CA,2017-2018,201836,2018-09-08,515,38143,1.35018
CA,2017-2018,201837,2018-09-15,645,41942,1.53784
CA,2017-2018,201838,2018-09-22,555,40592,1.36726
CA,2017-2018,201839,2018-09-29,546,41889,1.30344
CA,2018-2019,201840,2018-10-06,698,47137,1.48079
CA,2018-2019,201841,2018-10-13,598,47006,1.27218
CA,2018-2019,201842,2018-10-20,691,48390,1.42798
CA,2018-2019,201843,2018-10-27,753,47554,1.58346
CA,2018-2019,201844,2018-11-03,875,49603,1.76401
CA,2018-2019,201845,2018-11-10,944,50580,1.86635
CA,2018-2019,201846,2018-11-17,943,45451,2.07476
CA,2018-2019,201847,2018-11-24,719,34603,2.07785
CA,2018-2019,201848,2018-12-01,1177,50044,2.35193
CA,2018-2019,201849,2018-12-08,1206,47271,2.55125
CA,2018-2019,201850,2018-12-15,1356,46742,2.90103
CA,2018-2019,201851,2018-12-22,1288,40780,3.15841
CA,2018-2019,201852,2018-12-29,935,27856,3.35655
CA,2018-2019,201901,2019-01-05,1021,30557,3.3413
CA,2018-2019,201902,2019-01-12,1415,45057,3.14047
CA,2018-2019,201903,2019-01-19,1325,46081,2.87537
CA,2018-2019,201904,2019-01-26,1267,46179,2.74367
CA,2018-2019,201905,2019-02-02,1657,50930,3.25349
CA,2018-2019,201906,2019-02-09,1617,49471,3.26858
CA,2018-2019,201907,2019-02-16,1726,45746,3.77301
CA,2018-2019,201908,2019-02-23,1562,45822,3.40884
CA,2018-2019,201909,2019-03-02,1856,51592,3.59746
CA,2018-2019,201910,2019-03-09,1804,51181,3.52475
CA,2018-2019,201911,2019-03-16,1708,50695,3.36917
CA,2018-2019,201912,2019-03-23,1699,48781,3.48291
CA,2018-2019,201913,2019-03-30,1371,46258,2.96381
CA,2018-2019,201914,2019-04-06,1329,45408,2.9268
CA,2018-2019,201915,2019-04-13,1165,48514,2.40137
CA,2018-2019,201916,2019-04-20,1084,47547,2.27985
CA,2018-2019,201917,2019-04-27,972,48032,2.02365
CA,2018-2019,201918,2019-05-04,702,43294,1.62147
CA,2018-2019,201919,2019-05-11,771,42421,1.8175
CA,2018-2019,201920,2019-05-18,674,41245,1.63414
CA,2018-2019,201921,2019-05-25,616,39908,1.54355
CA,2018-2019,201922,2019-06-01,620,36696,1.68956
CA,2018-2019,201923,2019-06-08,579,37777,1.53268
CA,2018-2019,201924,2019-06-15,570,39331,1.44924
CA,2018-2019,201925,2019-06-22,474,37931,1.24964
CA,2018-2019,201926,2019-06-29,465,37978,1.22439
CA,2018-2019,201927,2019-07-06,329,32753,1.00449
CA,2018-2019,201928,2019-07-13,343,38118,0.899837
CA,2018-2019,201929,2019-07-20,344,37730,0.911741
CA,2018-2019,201930,2019-07-27,345,38376,0.898999
CA,2018-2019,201931,2019-08-03,315,37742,0.834614
CA,2018-2019,201932,2019-08-10,370,37140,0.99623
CA,2018-2019,201933,2019-08-17,311,38076,0.816787
CA,2018-2019,201934,2019-08-24,310,39595,0.782927
CA,2018-2019,201935,2019-08-31,413,40925,1.00916
CA,2018-2019,201936,2019-09-07,385,37765,1.01946
CA,2018-2019,201937,2019-09-14,480,42910,1.11862
CA,2018-2019,201938,2019-09-21,480,42066,1.14106
CA,2018-2019,201939,2019-09-28,485,42728,1.13509
CA,2019-2020,201940,2019-10-05,770,56592,1.36062
CA,2019-2020,201941,2019-10-12,830,54765,1.51557
CA,2019-2020,201942,2019-10-19,898,55023,1.63204
CA,2019-2020,201943,2019-10-26,988,56884,1.73687
CA,2019-2020,201944,2019-11-02,1016,54405,1.86748
CA,2019-2020,201945,2019-11-09,1258,57340,2.19393
CA,2019-2020,201946,2019-11-16,1481,60644,2.44212
CA,2019-2020,201947,2019-11-23,1536,64120,2.39551
CA,2019-2020,201948,2019-11-30,1205,43929,2.74306
CA,2019-2020,201949,2019-12-07,1697,62417,2.71881
CA,2019-2020,201950,2019-12-14,1678,60624,2.76788
CA,2019-2020,201951,2019-12-21,1854,57339,3.2334
CA,2019-2020,201952,2019-12-28,2040,43414,4.69895
CA,2019-2020,202001,2020-01-04,2217,45550,4.86718
CA,2019-2020,202002,2020-01-11,2601,62635,4.15263
CA,2019-2020,202003,2020-01-18,2738,63636,4.3026
CA,2019-2020,202004,2020-01-25,3087,64276,4.80273
CA,2019-2020,202005,2020-02-01,3365,67542,4.98209
CA,2019-2020,202006,2020-02-08,3394,67139,5.05518
CA,2019-2020,202007,2020-02-15,2885,60079,4.80201
CA,2019-2020,202008,2020-02-22,2762,61186,4.5141
CA,2019-2020,202009,2020-02-29,2765,65377,4.22932
CA,2019-2020,202010,2020-03-07,2395,60003,3.99147
CA,2019-2020,202011,2020-03-14,2322,54378,4.27011
CA,2019-2020,202012,2020-03-21,1474,29945,4.92236
CA,2019-2020,202013,2020-03-28,1101,30414,3.62004
CA,2019-2020,202014,2020-04-04,739,28464,2.59626
CA,2019-2020,202015,2020-04-11,567,27315,2.07578
CA,2019-2020,202016,2020-04-18,452,28999,1.55867
CA,2019-2020,202017,2020-04-25,388,30159,1.28651
CA,2019-2020,202018,2020-05-02,406,32260,1.25852
CA,2019-2020,202019,2020-05-09,394,35456,1.11124
CA,2019-2020,202020,2020-05-16,379,33434,1.13358
CA,2019-2020,202021,2020-05-23,387,36489,1.06059
CA,2019-2020,202022,2020-05-30,364,35131,1.03612
CA,2019-2020,202023,2020-06-06,325,38636,0.841184
CA,2019-2020,202024,2020-06-13,345,39704,0.86893
CA,2019-2020,202025,2020-06-20,404,40789,0.990463
CA,2019-2020,202026,2020-06-27,550,41403,1.32841
CA,2019-2020,202027,2020-07-04,592,38834,1.52444
CA,2019-2020,202028,2020-07-11,691,42560,1.62359
CA,2019-2020,202029,2020-07-18,649,41802,1.55256
CA,2019-2020,202030,2020-07-25,731,52756,1.38562
CA,2019-2020,202031,2020-08-01,724,51073,1.41758
CA,2019-2020,202032,2020-08-08,603,50918,1.18426
CA,2019-2020,202033,2020-08-15,528,52754,1.00087
CA,2019-2020,202034,2020-08-22,427,53414,0.799416
CA,2019-2020,202035,2020-08-29,435,53643,0.810917
CA,2019-2020,202036,2020-09-05,429,53590,0.800522
CA,2019-2020,202037,2020-09-12,427,50317,0.84862
CA,2019-2020,202038,2020-09-19,432,55088,0.7842
CA,2019-2020,202039,2020-09-26,457,51943,0.879811
CA,2020-2021,202040,2020-10-03,494,58047,0.851035
CA,2020-2021,202041,2020-10-10,676,64808,1.04308
CA,2020-2021,202042,2020-10-17,650,65503,0.992321
CA,2020-2021,202043,2020-10-24,642,64500,0.995349
CA,2020-2021,202044,2020-10-31,732,64741,1.13066
CA,2020-2021,202045,2020-11-07,857,68797,1.24569
CA,2020-2021,202046,2020-11-14,871,61228,1.42255
