region,season,t_end,date,Rt_mean,Rt_lo,Rt_hi
CA,2017-2018,4,2017-10-28,1.0348718075726606,0.9944014210277082,1.0761380960729112
CA,2017-2018,5,2017-11-04,1.088471246503134,1.047632641641329,1.130079770004796
CA,2017-2018,6,2017-11-11,1.050625687769482,1.0121013493114794,1.0898595290431692
CA,2017-2018,7,2017-11-18,1.043985739191168,1.0064784340248076,1.0821696025763834
CA,2017-2018,8,2017-11-25,0.9567682866822883,0.9216046884748513,0.9925810127954318
CA,2017-2018,9,2017-12-02,1.0122752573282274,0.9753199486074731,1.0499081315079155
CA,2017-2018,10,2017-12-09,1.075709084840702,1.037818717483709,1.1142692989685108
CA,2017-2018,11,2017-12-16,1.2841384650996075,1.2441287725399495,1.324772517553986
CA,2017-2018,12,2017-12-23,1.2873917610546028,1.2518710055718978,1.3234025061998584
CA,2017-2018,13,2017-12-30,1.2660025036331675,1.2348157528711952,1.2975727772498382
CA,2017-2018,14,2018-01-06,1.11009333240618,1.0840381576010159,1.1364536195718686
CA,2017-2018,15,2018-01-13,1.0458138083041202,1.0217684763344013,1.070134901885575
CA,2017-2018,16,2018-01-20,0.9249723621399257,0.9028482206270929,0.9473605822656589
CA,2017-2018,17,2018-01-27,0.9564121684481838,0.9330551610494582,0.9800539026615915
CA,2017-2018,18,2018-02-03,0.9999174796337363,0.9755132504564672,1.0246190135016717
CA,2017-2018,19,2018-02-10,1.0241866556562689,0.9994831711155643,1.0491875193235476
CA,2017-2018,20,2018-02-17,0.9765323144367574,0.9526876673070024,1.0006675868624368
CA,2017-2018,21,2018-02-24,0.8815254738692342,0.8586172500512502,0.9047310899410069
CA,2017-2018,22,2018-03-03,0.9519702801695386,0.9266747407117816,0.9776016919962396
CA,2017-2018,23,2018-03-10,0.9863036343639391,0.9599343039693888,1.0130252814549163
CA,2017-2018,24,2018-03-17,1.0070760029584858,0.9802491178124267,1.0342599986093088
CA,2017-2018,25,2018-03-24,0.9230568148935904,0.8974656716182785,0.9490027008032126
CA,2017-2018,26,2018-03-31,0.8665937047794855,0.840832753276523,0.8927379310877281
CA,2017-2018,27,2018-04-07,0.8612263197636427,0.8337231331139973,0.889169591235656
CA,2017-2018,28,2018-04-14,0.8462302443223209,0.8169477035880945,0.8760211841588522
CA,2017-2018,29,2018-04-21,0.9062868457443045,0.8734527904862998,0.9397182362656779
CA,2017-2018,30,2018-04-28,0.9456197304797022,0.9104516006611424,0.9814449570568607
CA,2017-2018,31,2018-05-05,0.9885455252936961,0.9515992618356768,1.0261855856062085
CA,2017-2018,32,2018-05-12,0.9777231875919671,0.94077228155166015,1.0153758959499959
CA,2017-2018,33,2018-05-19,0.913926909178259,0.8778215669986963,0.9507497008087662
CA,2017-2018,34,2018-05-26,0.920271085847275,0.8824428233904216,0.9588821137457348
CA,2017-2018,35,2018-06-02,0.8868688572810558,0.8482309781962702,0.9263551908482107
CA,2017-2018,36,2018-06-09,0.9272204252564903,0.8853669744597138,0.970026871478358
CA,2017-2018,37,2018-06-16,0.9210045218538354,0.8777514920767783,0.9652831780396576
