week,week_end,beta,S,Rt_mean,Rt_lo,Rt_hi
1,2019-10-05,6.462215811658301,37604362.07,2.6366094374981266,1.806524801300769,2.587119266928915
2,2019-10-12,4.936252665600899,37603871.37,2.0139841984131164,1.641305849543912,1.9914192052169004
3,2019-10-19,3.9177835432417853,37602398.77,1.598387621202759,1.4975500555332713,1.5914882987325518
4,2019-10-26,3.2221258592783992,37599268.88,1.3144619516984748,1.3163859644863636,1.3815409460113777
5,2019-11-02,2.7386431279617724,37594139.08,1.1170733885325241,1.1238965628450261,1.2735921663859486
6,2019-11-09,2.399115405765659,37587347.49,0.9784056176324708,0.9876718074753634,1.1797054470236623
7,2019-11-16,2.160336798337102,37579720.15,0.8808483071745585,0.891022242570887,1.0980908189287348
8,2019-11-23,1.9942439724240322,37572133.01,0.8129620229978994,0.8230630989209299,1.0272351204516994
9,2019-11-30,1.8821467733285562,37565201.49,0.7671235743997158,0.7765101868045152,0.9658525199637904
10,2019-12-07,1.8112522387009422,37559235.84,0.7381112115634348,0.7463529558825202,0.9128512982008634
11,2019-12-14,1.7725010658587337,37554295.83,0.7222245503028836,0.7290272872680766,0.8673083398781483
12,2019-12-21,1.7591710540767982,37550281.76,0.7167164782418068,0.7218803740467874,0.8284483366622549
13,2019-12-28,1.7659382161577544,37547016.76,0.7194109779298331,0.7228100152142153,0.795626121741898
14,2020-01-04,1.788218908520545,37544336.74,0.7284357273019585,0.7300118642189866,0.7683122679394401
15,2020-01-11,1.821694206183265,37542100.63,0.7420277816161303,0.7359758690546226,0.7465517992189228
16,2020-01-18,1.861966065544662,37540190.76,0.7583930700454955,0.720478613303755,0.7564509285599269
17,2020-01-25,1.904326496783474,37538507.26,0.77561201473689,0.7092362036860634,0.7721591713503554
18,2020-02-01,1.9436420951614983,37536983.83,0.7915927149806623,0.7027303861994383,0.7869464369919013
19,2020-02-08,1.9754063161025313,37535577.58,0.804499280615788,0.7008308759610231,0.7990811541740567
20,2020-02-15,1.9990995887669374,37534255.9,0.8141198792155105,0.7016655360546731,0.8083448940336281
21,2020-02-22,2.0153524637883464,37532997.36,0.8207112336655052,0.7042338772719551,0.8149560175617016
22,2020-02-29,2.024915567776357,37531784.99,0.8245789769911671,0.7097640497952399,0.8191786457440717
23,2020-03-07,2.0286302384056736,37530615.66,0.8260659145807312,0.7179141370313391,0.82131129842375
24,2020-03-14,2.0274010904256103,37529485.98,0.8255405511641722,0.7283554881757374,0.8216758135841171
25,2020-03-21,2.022171574449538,37528413.94,0.8233876155910705,0.7407603699651091,0.8206082360279456
26,2020-03-28,2.0139032839634354,37527379.23,0.81999832480837,0.7547898043045983,0.8184494060313356
27,2020-04-04,2.0035594855564183,37526393.79,0.8157652322243746,0.7700856043532769,0.815540063077977
28,2020-04-11,1.992093109397817,37525461.73,0.8110764601009517,0.7856405594656546,0.8257434044246356
29,2020-04-18,1.9804392516855296,37524579.96,0.8063126696831405,0.8004721875698049,0.8394373106224523
30,2020-04-25,1.9695121130978808,37523762.4,0.8018463425946478,0.8029452512021106,0.8567187153506465
31,2020-05-02,1.9602062281408958,37523001.71,0.7980414645622067,0.8006336007685155,0.8731017295177409
32,2020-05-09,1.9534018281159595,37522298.37,0.7952563424709264,0.7991973485515927,0.8871360582334689
33,2020-05-16,1.9499742226141987,37521650.4,0.7938472087154608,0.7989253625174351,0.898043116817617
34,2020-05-23,1.9508071787209826,37521056.25,0.7941737347453204,0.8001078384705118,0.9050417371003702
35,2020-05-30,1.9568104229512877,37520505.3,0.7966059585400246,0.8030434898474318,0.9073765767605442
36,2020-06-06,1.9685946994117762,37519994.2,0.8013923512196798,0.8079279131352531,0.9046136616956524
37,2020-06-13,1.9854326153182693,37519515.87,0.8082365698291063,0.8144457965319277,0.897488157106463
38,2020-06-20,2.00625847574948,37519063.75,0.816704589337676,0.821963104303731,0.8916220488058103
39,2020-06-27,2.0299863575815307,37518632.68,0.8263542042912746,0.8298656819217209,0.8892181362914325
40,2020-07-04,2.0554904637984555,37518218.22,0.8367270137785101,0.8383252061852873,0.8846680998013405
41,2020-07-11,2.0815916424401744,37517817.16,0.8473429436837734,0.8427342431163412,0.8782730680148758
42,2020-07-18,2.107050464110754,37517415.12,0.8576971458318087,0.8293394539368928,0.8703395720789007
43,2020-07-25,2.1305674175028266,37517008.51,0.8672605707079437,0.8164876189172118,0.8668072567841507
44,2020-08-01,2.1507908368364244,37516592.52,0.875482930430472,0.8044701071854057,0.8741322806841034
45,2020-08-08,2.1663331050244996,37516161.17,0.8817992974611815,0.7948431783682037,0.8798818905300448
46,2020-08-15,2.175795468644462,37515707.93,0.88564022405515,0.7883334804455067,0.8835276865465107
47,2020-08-22,2.1778014469816442,37515230.78,0.8864454670148376,0.7856373092424659,0.8845928541596473
48,2020-08-29,2.1710383185332645,37514732.18,0.883680879627047,0.7874963955231518,0.8826276881792237
49,2020-09-05,2.154305539658681,37514215.89,0.8768580445690265,0.7903065544183097,0.8814380682945853
50,2020-09-12,2.126568225123223,37513686.62,0.8655560286436391,0.7804706076632466,0.8964912058615001
51,2020-09-19,2.0870130536652156,37513146.9,0.8494440571178377,0.771779717988918,0.9166266735102123
52,2020-09-26,2.0351032290493536,37512612.86,0.828304226706664,0.7615501044693787,0.9457636930076943
